PC=0000000000000078, T_valid=1, T=59, Told=55, rega=31, regb=58
PC=000000000000007c, T_valid=1, T=60, Told=52, rega=52, regb=54
PC=0000000000000080, T_valid=1, T=61, Told=58, rega=58, regb=60
PC=0000000000000084, T_valid=1, T=62, Told=59, rega=31, regb=61
PC=000000000000005c, T_valid=1, T=57, Told=55, rega=55, regb=31
PC=0000000000000060, T_valid=1, T=58, Told=48, rega=31, regb=56
PC=0000000000000064, T_valid=1, T=59, Told=50, rega=50, regb=51
PC=0000000000000068, T_valid=0, T=31, Told=31, rega=59, regb=31
PC=000000000000006c, T_valid=0, T=31, Told=31, rega=31, regb=31
PC=00000000000000f4, T_valid=1, T=58, Told=56, rega=31, regb=47
PC=00000000000000f8, T_valid=0, T=31, Told=31, rega=39, regb=47
PC=00000000000000fc, T_valid=0, T=31, Told=31, rega=54, regb=47
PC=0000000000000100, T_valid=0, T=31, Told=31, rega=50, regb=47
PC=0000000000000104, T_valid=1, T=59, Told=47, rega=47, regb=31
PC=0000000000000108, T_valid=0, T=31, Told=31, rega=31, regb=57
PC=0000000000000060, T_valid=1, T=60, Told=48, rega=31, regb=58
PC=0000000000000064, T_valid=1, T=61, Told=50, rega=50, regb=51
PC=0000000000000068, T_valid=0, T=31, Told=31, rega=61, regb=31
PC=000000000000006c, T_valid=0, T=31, Told=31, rega=31, regb=31
PC=0000000000000070, T_valid=1, T=62, Told=16, rega=31, regb=54
PC=0000000000000074, T_valid=1, T=63, Told=53, rega=53, regb=52
PC=0000000000000078, T_valid=1, T=26, Told=57, rega=31, regb=63
PC=000000000000007c, T_valid=1, T= 0, Told=52, rega=52, regb=54
PC=0000000000000044, T_valid=1, T=62, Told=51, rega=51, regb=31
PC=0000000000000048, T_valid=1, T=63, Told=52, rega=52, regb=60
PC=000000000000004c, T_valid=1, T=26, Told=53, rega=53, regb=63
PC=0000000000000050, T_valid=1, T= 0, Told=54, rega=31, regb=60
PC=0000000000000054, T_valid=1, T= 2, Told=57, rega=31, regb=26
PC=0000000000000058, T_valid=0, T=31, Told=31, rega=58, regb=31
PC=0000000000000070, T_valid=1, T= 3, Told=16, rega=31, regb= 0
PC=0000000000000074, T_valid=1, T= 4, Told=26, rega=26, regb=63
PC=0000000000000078, T_valid=1, T= 5, Told= 2, rega=31, regb= 4
PC=000000000000007c, T_valid=1, T= 1, Told=63, rega=63, regb= 0
PC=000000000000014c, T_valid=1, T= 3, Told=35, rega=35, regb= 0
